cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
PATROCINIO,Operante,-18.996684000000000000000000000000,-46.985935000000000000000000000000,-46.985935000000000000000000000000,A523,MG
FORMIGA,Operante,-20.455000000000000000000000000000,-45.453888880000000000000000000000,-45.453888880000000000000000000000,A524,MG
SACRAMENTO,Operante,-19.875277770000000000000000000000,-47.434166660000000000000000000000,-47.434166660000000000000000000000,A525,MG
MONTALVANIA,Operante,-14.408333330000000000000000000000,-44.404166660000000000000000000000,-44.404166660000000000000000000000,A526,MG
TEOFILO OTONI,Operante,-17.892840000000000000000000000000,-41.515423000000000000000000000000,-41.515423000000000000000000000000,A527,MG
TRES MARIAS,Operante,-18.200855000000000000000000000000,-45.459836000000000000000000000000,-45.459836000000000000000000000000,A528,MG
PASSA QUATRO,Operante,-22.395833330000000000000000000000,-44.961944440000000000000000000000,-44.961944440000000000000000000000,A529,MG
CALDAS,Operante,-21.918066000000000000000000000000,-46.382996000000000000000000000000,-46.382996000000000000000000000000,A530,MG
MARIA DA FE,Operante,-22.314444440000000000000000000000,-45.373055540000000000000000000000,-45.373055540000000000000000000000,A531,MG
GOVERNADOR VALADARES,Operante,-18.830354000000000000000000000000,-41.977007000000000000000000000000,-41.977007000000000000000000000000,A532,MG
GUANHAES,Operante,-18.786944440000000000000000000000,-42.943055550000000000000000000000,-42.943055550000000000000000000000,A533,MG
AIMORES,Operante,-19.532777770000000000000000000000,-41.090833330000000000000000000000,-41.090833330000000000000000000000,A534,MG
FLORESTAL,Operante,-19.885277770000000000000000000000,-44.416944430000000000000000000000,-44.416944430000000000000000000000,A535,MG
DORES DO INDAIA,Operante,-19.481944430000000000000000000000,-45.593888880000000000000000000000,-45.593888880000000000000000000000,A536,MG
DIAMANTINA,Operante,-18.231052000000000000000000000000,-43.648269000000000000000000000000,-43.648269000000000000000000000000,A537,MG
CURVELO,Operante,-18.747711000000000000000000000000,-44.453785000000000000000000000000,-44.453785000000000000000000000000,A538,MG
MOCAMBINHO,Operante,-15.085833330000000000000000000000,-44.016111110000000000000000000000,-44.016111110000000000000000000000,A539,MG
MANTENA,Operante,-18.780620000000000000000000000000,-40.986505000000000000000000000000,-40.986505000000000000000000000000,A540,MG
CAPELINHA,Operante,-17.705555550000000000000000000000,-42.389166660000000000000000000000,-42.389166660000000000000000000000,A541,MG
UNAI,Operante,-16.554166660000000000000000000000,-46.881944430000000000000000000000,-46.881944430000000000000000000000,A542,MG
ESPINOSA,Operante,-14.912222220000000000000000000000,-42.808611110000000000000000000000,-42.808611110000000000000000000000,A543,MG
BURITIS,Operante,-15.524166660000000000000000000000,-46.435555550000000000000000000000,-46.435555550000000000000000000000,A544,MG
PIRAPORA,Operante,-17.258064000000000000000000000000,-44.835556000000000000000000000000,-44.835556000000000000000000000000,A545,MG
GUARDA-MOR,Operante,-17.561388880000000000000000000000,-47.199166660000000000000000000000,-47.199166660000000000000000000000,A546,MG
SAO ROMAO,Operante,-16.362777770000000000000000000000,-45.123888880000000000000000000000,-45.123888880000000000000000000000,A547,MG
CHAPADA GAUCHA,Operante,-15.300277770000000000000000000000,-45.617499990000000000000000000000,-45.617499990000000000000000000000,A548,MG
AGUAS VERMELHAS,Operante,-15.751666660000000000000000000000,-41.457777770000000000000000000000,-41.457777770000000000000000000000,A549,MG
ITAOBIM,Operante,-16.575555540000000000000000000000,-41.485555550000000000000000000000,-41.485555550000000000000000000000,A550,MG
RIO PARDO DE MINAS,Operante,-15.723055540000000000000000000000,-42.435833330000000000000000000000,-42.435833330000000000000000000000,A551,MG
