hr_medicao,cdg_stacao,vento_direcao
2019-03-05 02:00:00.000000,A001,276
2019-03-05 03:00:00.000000,A001,286
2019-03-05 04:00:00.000000,A001,306
2019-03-05 05:00:00.000000,A001,268
2019-03-05 06:00:00.000000,A001,217
2019-03-05 07:00:00.000000,A001,169
2019-03-05 08:00:00.000000,A001,124
2019-03-05 09:00:00.000000,A001,126
2019-03-05 10:00:00.000000,A001,119
2019-03-05 11:00:00.000000,A001,145
2019-03-05 12:00:00.000000,A001,135
2019-03-05 13:00:00.000000,A001,127
2019-03-05 14:00:00.000000,A001,104
2019-03-05 15:00:00.000000,A001,84
2019-03-05 16:00:00.000000,A001,88
2019-03-05 17:00:00.000000,A001,76
2019-03-05 18:00:00.000000,A001,96
2019-03-05 19:00:00.000000,A001,159
2019-03-05 20:00:00.000000,A001,105
2019-03-05 21:00:00.000000,A001,143
2019-03-05 22:00:00.000000,A001,156
2019-03-05 23:00:00.000000,A001,108
2019-03-06 00:00:00.000000,A001,39
2019-03-06 01:00:00.000000,A001,45
2019-03-06 02:00:00.000000,A001,10
2019-03-06 03:00:00.000000,A001,264
2019-03-06 04:00:00.000000,A001,175
2019-03-06 05:00:00.000000,A001,144
2019-03-06 06:00:00.000000,A001,126
2019-03-06 07:00:00.000000,A001,169
2019-03-06 08:00:00.000000,A001,305
2019-03-06 09:00:00.000000,A001,137
2019-03-06 10:00:00.000000,A001,160
2019-03-06 11:00:00.000000,A001,129
2019-03-06 12:00:00.000000,A001,96
2019-03-06 13:00:00.000000,A001,123
2019-03-06 14:00:00.000000,A001,99
2019-03-06 15:00:00.000000,A001,99
2019-03-06 16:00:00.000000,A001,96
2019-03-06 17:00:00.000000,A001,26
2019-03-06 18:00:00.000000,A001,27
2019-03-06 19:00:00.000000,A001,22
2019-03-06 20:00:00.000000,A001,41
2019-03-06 21:00:00.000000,A001,13
2019-03-06 22:00:00.000000,A001,46
2019-03-06 23:00:00.000000,A001,69
2019-03-07 00:00:00.000000,A001,35
2019-03-07 01:00:00.000000,A001,76
2019-03-07 02:00:00.000000,A001,355
2019-03-07 03:00:00.000000,A001,9
2019-03-07 04:00:00.000000,A001,165
2019-03-07 05:00:00.000000,A001,305
2019-03-07 06:00:00.000000,A001,349
2019-03-07 07:00:00.000000,A001,246
2019-03-07 08:00:00.000000,A001,295
2019-03-07 09:00:00.000000,A001,41
2019-03-07 10:00:00.000000,A001,88
2019-03-07 11:00:00.000000,A001,128
2019-03-07 12:00:00.000000,A001,126
2019-03-07 13:00:00.000000,A001,77
2019-03-07 14:00:00.000000,A001,98
2019-03-07 15:00:00.000000,A001,87
2019-03-07 16:00:00.000000,A001,48
2019-03-07 17:00:00.000000,A001,44
2019-03-07 18:00:00.000000,A001,47
2019-03-07 19:00:00.000000,A001,20
2019-03-07 20:00:00.000000,A001,238
2019-03-07 21:00:00.000000,A001,224
2019-03-07 22:00:00.000000,A001,128
2019-03-07 23:00:00.000000,A001,177
2019-03-08 00:00:00.000000,A001,153
2019-03-08 01:00:00.000000,A001,211
2019-03-08 02:00:00.000000,A001,141
2019-03-08 03:00:00.000000,A001,15
2019-03-08 04:00:00.000000,A001,204
2019-03-08 05:00:00.000000,A001,174
2019-03-08 06:00:00.000000,A001,134
2019-03-08 07:00:00.000000,A001,203
2019-03-08 08:00:00.000000,A001,141
2019-03-08 09:00:00.000000,A001,141
2019-03-08 10:00:00.000000,A001,133
2019-03-08 11:00:00.000000,A001,122
2019-03-08 12:00:00.000000,A001,116
2019-03-08 13:00:00.000000,A001,122
2019-03-08 14:00:00.000000,A001,113
2019-03-08 15:00:00.000000,A001,84
2019-03-08 16:00:00.000000,A001,104
2019-03-08 17:00:00.000000,A001,122
2019-03-08 18:00:00.000000,A001,118
2019-03-08 19:00:00.000000,A001,82
2019-03-08 20:00:00.000000,A001,111
2019-03-08 21:00:00.000000,A001,132
2019-03-08 22:00:00.000000,A001,285
2019-03-08 23:00:00.000000,A001,113
2019-03-09 00:00:00.000000,A001,115
2019-03-09 01:00:00.000000,A001,30
2019-03-09 02:00:00.000000,A001,38
2019-03-09 03:00:00.000000,A001,164
2019-03-09 04:00:00.000000,A001,138
2019-03-09 05:00:00.000000,A001,157
2019-03-09 06:00:00.000000,A001,316
2019-03-09 07:00:00.000000,A001,196
2019-03-09 08:00:00.000000,A001,161
2019-03-09 09:00:00.000000,A001,160
2019-03-09 10:00:00.000000,A001,160
2019-03-09 11:00:00.000000,A001,131
2019-03-09 12:00:00.000000,A001,123
2019-03-09 13:00:00.000000,A001,120
2019-03-09 14:00:00.000000,A001,104
2019-03-09 15:00:00.000000,A001,100
2019-03-09 16:00:00.000000,A001,113
2019-03-09 17:00:00.000000,A001,117
2019-03-09 18:00:00.000000,A001,147
2019-03-09 19:00:00.000000,A001,127
2019-03-09 20:00:00.000000,A001,82
2019-03-09 21:00:00.000000,A001,89
2019-03-09 22:00:00.000000,A001,90
2019-03-09 23:00:00.000000,A001,109
2019-01-09 00:00:00.000000,A001,95
2019-01-09 01:00:00.000000,A001,86
2019-01-09 02:00:00.000000,A001,79
2019-01-09 03:00:00.000000,A001,75
2019-01-09 04:00:00.000000,A001,72
2019-01-09 05:00:00.000000,A001,71
2019-01-09 06:00:00.000000,A001,64
2019-01-09 07:00:00.000000,A001,69
2019-01-09 08:00:00.000000,A001,64
2019-01-09 09:00:00.000000,A001,94
2019-01-09 10:00:00.000000,A001,60
2019-01-09 11:00:00.000000,A001,72
2019-01-09 12:00:00.000000,A001,85
2019-01-09 13:00:00.000000,A001,84
2019-01-09 14:00:00.000000,A001,96
2019-01-09 15:00:00.000000,A001,62
2019-01-09 16:00:00.000000,A001,108
2019-01-09 17:00:00.000000,A001,75
2019-01-09 18:00:00.000000,A001,46
2019-01-09 19:00:00.000000,A001,74
2019-01-09 20:00:00.000000,A001,66
2019-01-09 21:00:00.000000,A001,102
2019-01-09 22:00:00.000000,A001,98
2019-01-09 23:00:00.000000,A001,118
2019-01-10 00:00:00.000000,A001,100
2019-01-10 01:00:00.000000,A001,93
2019-01-10 02:00:00.000000,A001,114
2019-01-10 03:00:00.000000,A001,112
2019-01-10 04:00:00.000000,A001,118
2019-01-10 05:00:00.000000,A001,118
2019-01-10 06:00:00.000000,A001,121
2019-01-10 07:00:00.000000,A001,135
2019-01-10 08:00:00.000000,A001,131
2019-01-10 09:00:00.000000,A001,105
2019-01-10 10:00:00.000000,A001,108
2019-01-10 11:00:00.000000,A001,84
2019-01-10 12:00:00.000000,A001,80
2019-01-10 13:00:00.000000,A001,62
2019-01-10 14:00:00.000000,A001,76
2019-01-10 15:00:00.000000,A001,68
2019-01-10 16:00:00.000000,A001,52
2019-01-10 17:00:00.000000,A001,123
2019-01-10 18:00:00.000000,A001,60
2019-01-10 19:00:00.000000,A001,41
2019-01-10 20:00:00.000000,A001,308
2019-01-10 21:00:00.000000,A001,313
2019-01-10 22:00:00.000000,A001,12
2019-01-10 23:00:00.000000,A001,360
2019-01-11 00:00:00.000000,A001,350
2019-01-11 01:00:00.000000,A001,25
2019-01-11 02:00:00.000000,A001,44
2019-01-11 03:00:00.000000,A001,20
2019-01-11 04:00:00.000000,A001,72
2019-01-11 05:00:00.000000,A001,150
2019-01-11 06:00:00.000000,A001,129
2019-01-11 07:00:00.000000,A001,150
2019-01-11 08:00:00.000000,A001,115
2019-01-11 09:00:00.000000,A001,230
2019-01-11 10:00:00.000000,A001,331
2019-01-11 11:00:00.000000,A001,209
2019-01-11 12:00:00.000000,A001,133
2019-01-11 13:00:00.000000,A001,348
2019-01-11 14:00:00.000000,A001,329
2019-01-11 15:00:00.000000,A001,287
2019-01-11 16:00:00.000000,A001,199
2019-01-11 17:00:00.000000,A001,142
2019-01-11 18:00:00.000000,A001,56
2019-01-11 19:00:00.000000,A001,87
2019-01-11 20:00:00.000000,A001,94
2019-01-11 21:00:00.000000,A001,128
2019-01-11 22:00:00.000000,A001,156
2019-01-11 23:00:00.000000,A001,159
2019-01-12 00:00:00.000000,A001,150
2019-01-12 01:00:00.000000,A001,170
2019-01-12 02:00:00.000000,A001,349
2019-01-12 03:00:00.000000,A001,277
2019-01-12 04:00:00.000000,A001,195
2019-01-12 05:00:00.000000,A001,172
2019-01-12 06:00:00.000000,A001,216
2019-01-12 07:00:00.000000,A001,177
2019-01-12 08:00:00.000000,A001,165
2019-01-12 09:00:00.000000,A001,143
2019-01-12 10:00:00.000000,A001,127
2019-01-12 11:00:00.000000,A001,148
2019-01-12 12:00:00.000000,A001,112
2019-01-12 13:00:00.000000,A001,120
2019-01-12 14:00:00.000000,A001,137
2019-01-12 15:00:00.000000,A001,103
2019-01-12 16:00:00.000000,A001,62
2019-01-12 17:00:00.000000,A001,341
2019-01-12 18:00:00.000000,A001,256
2019-01-12 19:00:00.000000,A001,357
2019-01-12 20:00:00.000000,A001,166
2019-01-12 21:00:00.000000,A001,337
2019-01-12 22:00:00.000000,A001,204
2019-01-12 23:00:00.000000,A001,289
2019-01-13 00:00:00.000000,A001,74
2019-01-13 01:00:00.000000,A001,181
2019-01-13 02:00:00.000000,A001,288
2019-01-13 03:00:00.000000,A001,351
2019-01-13 04:00:00.000000,A001,6
2019-01-13 05:00:00.000000,A001,101
2019-01-13 06:00:00.000000,A001,142
2019-01-13 07:00:00.000000,A001,156
2019-01-13 08:00:00.000000,A001,153
2019-01-13 09:00:00.000000,A001,150
2019-01-13 10:00:00.000000,A001,147
2019-01-13 11:00:00.000000,A001,94
2019-01-13 12:00:00.000000,A001,102
2019-01-13 13:00:00.000000,A001,66
2019-01-13 14:00:00.000000,A001,66
2019-01-13 15:00:00.000000,A001,81
2019-01-13 16:00:00.000000,A001,85
2019-01-13 17:00:00.000000,A001,95
2019-01-13 18:00:00.000000,A001,80
2019-01-13 19:00:00.000000,A001,79
2019-01-13 20:00:00.000000,A001,88
2019-01-13 21:00:00.000000,A001,90
2019-01-13 22:00:00.000000,A001,112
2019-01-13 23:00:00.000000,A001,121
